Trade Date,Order Type,Security,Cusip,Transaction Description,Quantity,Executed Price,Commission,Net Amount
3/17/2020,Buy,PTON,70614W100,"PELOTON INTERACTIVE INC       CLASS A COMMON STOCK",19,26.515,0.0000,503.79
3/17/2020,Buy,GRUB,400110102,"GRUBHUB INC                   COM",11,44.4886,0.0000,489.37
4/16/2020,Buy,ZM,98980L101,"ZOOM VIDEO COMMUNICATIONS INC CLASS A COMMON STOCK",7,150.232,0.0000,1051.62
4/28/2020,Sell,GRUB,400110102,"GRUBHUB INC                   COM",11,45.46,0.0000,500.04
4/29/2020,Buy,GILD,375558103,"GILEAD SCIENCES INC",7,83.44,0.0000,584.08
5/12/2020,Buy,ZM,98980L101,"ZOOM VIDEO COMMUNICATIONS INC CLASS A COMMON STOCK",2,166.59,0.0000,333.18
6/8/2020,Buy,PTON,70614W100,"PELOTON INTERACTIVE INC       CLASS A COMMON STOCK          ^B",10,45.23,0.0000,452.3
6/23/2020,Sell,GILD,375558103,"GILEAD SCIENCES INC           ^S",7,75.915,0.0000,531.39
6/23/2020,Buy,PTON,70614W100,"PELOTON INTERACTIVE INC       CLASS A COMMON STOCK          ^B",10,55.965,0.0000,559.65
6/26/2020,Buy,SPOT,L8681T102,"***SPOTIFY TECHNOLOGY S A     SHS SPOTIFY TECH SA ORD REG   ^B",7,263.1,0.0000,1841.7
7/10/2020,Buy,WORK,83088V102,"SLACK TECHNOLOGIES INC        CLASS A COMMON STOCK          ^B",30,33.756,0.0000,1012.68
7/13/2020,Buy,PTON,70614W100,"PELOTON INTERACTIVE INC       CLASS A COMMON STOCK          ^B",15,69.65,0.0000,1044.75
7/16/2020,Sell,ZM,98980L101,"ZOOM VIDEO COMMUNICATIONS INC CLASS A COMMON STOCK          ^S",9,245.5,0.0000,2209.45
7/17/2020,Sell,PTON,70614W100,"PELOTON INTERACTIVE INC       CLASS A COMMON STOCK          ^S",40,59.5,0.0000,2379.94
8/4/2020,Buy,PTON,70614W100,"PELOTON INTERACTIVE INC       CLASS A COMMON STOCK          ^B",14,69.6387,0.0000,974.94
9/2/2020,Buy,PTON,70614W100,"PELOTON INTERACTIVE INC       CLASS A COMMON STOCK          ^B",10,88.8922,0.0000,888.92
9/2/2020,Buy,WORK,83088V102,"SLACK TECHNOLOGIES INC        CLASS A COMMON STOCK          ^B",29,33.628,0.0000,975.21
9/9/2020,Sell,WORK,83088V102,"SLACK TECHNOLOGIES INC        CLASS A COMMON STOCK          ^S",59,24.631,0.0000,1453.18
9/10/2020,Buy,PTON,70614W100,"PELOTON INTERACTIVE INC       CLASS A COMMON STOCK          ^B",5,90.775,0.0000,453.88
9/18/2020,Buy,ZM,98980L101,"ZOOM VIDEO COMMUNICATIONS INC CLASS A COMMON STOCK          ^B",5,416.4281,0.0000,2082.14